snapshot_id,snapshot_date,snapshot_time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Number of Patients In department >= 4 Hours,Total Number of Patients in the Department,Number of Patients in Resus,Number of Patients Registered in Last 60 Minutes,Number of Patients Waiting Triage,Number of Patients Waiting to be Seen (ED),Number of Patients Waiting to be Seen (Medical),Number of Patients Waiting to be Seen (Surgery),Number of Patients > 3 Hours,Number of Patients Waiting a Bed,Number of Patients Left Department in Last 60 Minutes,Free_beds,Breach_in_next_timeslot
162075,03/08/2016,16:00:13,0,0,1,0,0,0,0,2,23,3,11,0,4,1,2,4,4,12,31,1
162186,03/08/2016,18:00:23,0,0,1,0,0,0,0,1,26,2,17,3,6,0,1,2,6,14,40,1
162284,03/08/2016,20:00:19,0,0,1,0,0,0,0,2,22,2,10,1,2,0,0,3,7,13,47,0
162392,03/08/2016,22:00:08,0,0,1,0,0,0,0,0,23,0,15,2,8,0,1,0,4,9,39,1
162502,04/08/2016,00:00:20,0,0,0,1,0,0,0,1,29,2,10,0,12,1,1,1,4,0,40,1
162614,04/08/2016,02:00:23,0,0,0,1,0,0,0,3,18,2,4,0,2,0,2,5,7,1,34,1
162789,04/08/2016,04:00:43,0,0,0,1,0,0,0,5,13,2,4,0,1,0,2,7,5,2,31,1
162920,04/08/2016,08:03:49,0,0,0,1,0,0,0,7,16,1,8,0,4,0,0,8,7,1,22,1
163024,04/08/2016,10:00:51,0,0,0,1,0,0,0,6,25,2,11,2,5,0,0,6,9,5,25,1
163132,04/08/2016,12:00:28,0,0,0,1,0,0,0,4,23,2,12,4,3,0,1,5,6,11,30,1
163241,04/08/2016,14:00:09,0,0,0,1,0,0,0,2,19,0,6,1,2,0,1,3,6,13,38,0
163352,04/08/2016,16:00:18,0,0,0,1,0,0,0,0,17,0,9,2,2,0,0,0,5,11,45,0
163462,04/08/2016,18:00:25,0,0,0,1,0,0,0,0,26,0,11,2,3,0,3,1,5,7,52,0
163564,04/08/2016,20:01:27,0,0,0,1,0,0,0,0,33,2,18,6,5,0,2,1,5,14,51,0
163664,04/08/2016,22:00:15,0,0,0,1,0,0,0,0,28,3,7,1,8,2,1,3,4,17,42,0
163775,05/08/2016,00:00:18,0,0,0,0,1,0,0,0,19,2,11,3,2,0,0,2,2,0,32,0
163886,05/08/2016,02:02:37,0,0,0,0,1,0,0,0,15,1,4,0,3,0,0,2,3,0,31,1
164059,05/08/2016,04:00:41,0,0,0,0,1,0,0,1,12,2,6,0,4,0,0,3,2,3,29,0
164215,05/08/2016,08:00:17,0,0,0,0,1,0,0,0,7,1,6,1,2,0,0,0,0,4,21,0
164317,05/08/2016,10:00:12,0,0,0,0,1,0,0,0,27,4,16,2,10,0,2,1,4,6,24,1
164428,05/08/2016,12:00:33,0,0,0,0,1,0,0,1,30,4,12,2,11,0,0,5,7,11,32,1
164537,05/08/2016,14:00:11,0,0,0,0,1,0,0,1,30,1,14,0,8,0,0,3,7,7,37,1
164644,05/08/2016,16:00:23,0,0,0,0,1,0,0,1,26,1,10,1,9,0,1,1,4,14,47,0
