id,title,labels,fold
6610461,"The effects of putative 5-hydroxytryptamine receptor active agents on D-amphetamine self-administration in controls and rats with 5,7-dihydroxytryptamine median forebrain bundle lesions.","5,7-Dihydroxytryptamine	Animals	Cyproheptadine	Dextroamphetamine	Fluoxetine	Humans	Male	Medial Forebrain Bundle	Methysergide	Neural Pathways	Quipazine	Rats	Rats, Inbred Strains	Serotonin	Substance-Related Disorders	Tryptophan",10
3425621,"Alopecia, macular degeneration, and growth retardation: a new syndrome?",Adult	Alopecia	Dwarfism	Female	Humans	Macular Degeneration	Syndrome,10
20595016,Drug penetration model of vinblastine-treated Caco-2 cultures.,"Antineoplastic Agents, Phytogenic	Caco-2 Cells	Humans	Models, Biological	P-Glycoprotein	Polymerase Chain Reaction	RNA, Messenger	Vinblastine",10
6743441,Primary cardiac amyloidosis in a young man presenting with angina pectoris.,Adult	Amyloidosis	Angina Pectoris	Cardiomyopathies	Humans	Male,10
23465547,Combining two serological assays optimises sensitivity and specificity for the identification of Streptococcus equi subsp. equi exposure.,"Animals	Antibodies, Bacterial	Antigens, Bacterial	Enzyme-Linked Immunosorbent Assay	Horse Diseases	Horses	Sensitivity and Specificity	Serologic Tests	Streptococcal Infections	Streptococcus equi",10
10757410,'Gangliocytomas' of the pituitary: a heterogeneous group of lesions with differing histogenesis.,"Acromegaly	Adenoma	Adolescent	Adult	Biomarkers	Cushing Syndrome	Female	Ganglioneuroma	Growth Hormone	Hamartoma	Humans	Hypothalamus	Immunohistochemistry	Male	Middle Aged	Pituitary Gland, Anterior	Pituitary Gland, Posterior	Pituitary Neoplasms",10
18182506,Molecular detection of betanodavirus in wild marine fish populations in Korea.,"Amino Acid Sequence	Animals	Aquaculture	Base Sequence	Capsid Proteins	Fish Diseases	Fishes	Korea	Molecular Sequence Data	Nodaviridae	Phylogeny	RNA Virus Infections	RNA, Viral	Reverse Transcriptase Polymerase Chain Reaction	Sequence Alignment",10
17521196,Efficient synthesis of 5-amido-3-hydroxy-4-pyrones as inhibitors of matrix metalloproteinases.,Matrix Metalloproteinase Inhibitors	Molecular Structure	Pyrones,10
9878432,"Three-dimensional analysis of the 16 nm urothelial plaque particle: luminal surface exposure, preferential head-to-head interaction, and hinge formation.","Animals	Cytoplasm	Mice	Mice, Inbred BALB C	Models, Biological	Urothelium",10
1706618,Regulation of pp60c-src expression in rat and mouse fibroblasts by an inducible antisense gene: effects on serum regulation of growth and polyoma virus middle T function.,"Animals	Antigens, Polyomavirus Transforming	Blood Physiological Phenomena	Cell Division	Cell Line, Transformed	Cell Transformation, Viral	Dexamethasone	Fibroblasts	Gene Expression Regulation	Immunoblotting	Mice	Phosphorylation	Proto-Oncogene Proteins pp60(c-src)	RNA, Antisense	Rats	Virus Replication",10
9027500,Comparative mapping in the beige-satin region of mouse chromosome 13.,"Animals	Chromosome Mapping	Chromosomes, Artificial, Yeast	Chromosomes, Human, Pair 1	Crosses, Genetic	Female	Genetic Linkage	Hair Color	Humans	Male	Mice	Mice, Inbred C3H	Polymorphism, Genetic	Restriction Mapping	Sequence Tagged Sites",10
12935926,"Two novel translocations, t(2;4)(q35;q31) and t(X;12)(q22;q24), as the only karyotypic abnormalities in a malignant peripheral nerve sheath tumor of the skull base.","Adult	Chromosomes, Human	Humans	Karyotyping	Male	Nerve Sheath Neoplasms	Translocation, Genetic",10
