,threshold,k_fold,accuracy,sensitivity,specificity,positive_likelihood,negative_likelihood,true_positive_rate,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,precision,recall,f1,positive_rate
0,0.0,0.0,0.6206896551724138,1.0,0.0,1.0,,1.0,1.0,,0.6206896551724138,,0.6206896551724138,1.0,0.7659574468085107,1.0
1,0.01,0.0,0.7241379310344828,1.0,0.2727272727272727,1.375,0.0,1.0,0.7272727272727273,0.0,0.6923076923076923,1.0,0.6923076923076923,1.0,0.8181818181818181,0.896551724137931
2,0.02,0.0,0.7241379310344828,1.0,0.2727272727272727,1.375,0.0,1.0,0.7272727272727273,0.0,0.6923076923076923,1.0,0.6923076923076923,1.0,0.8181818181818181,0.896551724137931
3,0.03,0.0,0.7413793103448276,1.0,0.3181818181818182,1.4666666666666666,0.0,1.0,0.6818181818181819,0.0,0.7058823529411765,1.0,0.7058823529411765,1.0,0.8275862068965517,0.8793103448275862
4,0.04,0.0,0.7413793103448276,1.0,0.3181818181818182,1.4666666666666666,0.0,1.0,0.6818181818181819,0.0,0.7058823529411765,1.0,0.7058823529411765,1.0,0.8275862068965517,0.8793103448275862
5,0.05,0.0,0.7413793103448276,1.0,0.3181818181818182,1.4666666666666666,0.0,1.0,0.6818181818181819,0.0,0.7058823529411765,1.0,0.7058823529411765,1.0,0.8275862068965517,0.8793103448275862
6,0.06,0.0,0.7413793103448276,1.0,0.3181818181818182,1.4666666666666666,0.0,1.0,0.6818181818181819,0.0,0.7058823529411765,1.0,0.7058823529411765,1.0,0.8275862068965517,0.8793103448275862
7,0.07,0.0,0.7413793103448276,1.0,0.3181818181818182,1.4666666666666666,0.0,1.0,0.6818181818181819,0.0,0.7058823529411765,1.0,0.7058823529411765,1.0,0.8275862068965517,0.8793103448275862
8,0.08,0.0,0.7413793103448276,1.0,0.3181818181818182,1.4666666666666666,0.0,1.0,0.6818181818181819,0.0,0.7058823529411765,1.0,0.7058823529411765,1.0,0.8275862068965517,0.8793103448275862
9,0.09,0.0,0.7586206896551724,1.0,0.36363636363636365,1.5714285714285714,0.0,1.0,0.6363636363636364,0.0,0.72,1.0,0.72,1.0,0.8372093023255813,0.8620689655172413
10,0.1,0.0,0.7586206896551724,1.0,0.36363636363636365,1.5714285714285714,0.0,1.0,0.6363636363636364,0.0,0.72,1.0,0.72,1.0,0.8372093023255813,0.8620689655172413
