threshold,k_fold,accuracy,sensitivity,specificity,positive_likelihood,negative_likelihood,true_positive_rate,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,precision,recall,f1,positive_rate
0.0,3.0276503540974917,0.004650542988181565,0.0,0.0,0.0,,0.0,0.0,,0.004650542988181565,,0.004650542988181565,0.0,0.0035151405606879387,0.0
0.01,3.0276503540974917,0.057995736344645644,0.0,0.15440267156811482,0.43176433686003035,0.0,0.0,0.1544026715681148,0.0,0.049336933083247145,0.0,0.049336933083247145,0.0,0.032967736902008035,0.0575007485588162
0.02,3.0276503540974917,0.0624469928139586,0.0,0.16599911288251934,0.5308428124059059,0.0,0.0,0.16599911288251934,0.0,0.055050978814879754,0.0,0.055050978814879754,0.0,0.03625260657519522,0.061800674574039934
0.03,3.0276503540974917,0.056961627660427464,0.0,0.1506415065436127,0.6087046036215039,0.0,0.0,0.1506415065436127,0.0,0.05322403288187298,0.0,0.05322403288187298,0.0,0.034236552022569554,0.05590168513723732
0.04,3.0276503540974917,0.057076383247138235,0.0,0.15060608203608913,0.7324606199921762,0.0,0.0,0.1506060820360892,0.0,0.055152622337967735,0.0,0.055152622337967735,0.0,0.034969126768719966,0.05584284863224996
0.05,3.0276503540974917,0.061306203748809955,0.0,0.1620915241596492,0.8625065925883613,0.0,0.0,0.16209152415964925,0.0,0.06006611084487807,0.0,0.06006611084487807,0.0,0.037821524210238634,0.06010497520028908
0.06,3.0276503540974917,0.062086550588000125,0.0,0.16427416416459115,0.8661798151966306,0.0,0.0,0.16427416416459123,0.0,0.06073743795336229,0.0,0.06073743795336229,0.0,0.038265373872656265,0.06097974867167444
0.07,3.0276503540974917,0.06210683873857089,0.0,0.16374347207575174,0.8753667443119142,0.0,0.0,0.1637434720757518,0.0,0.061050850380167124,0.0,0.061050850380167124,0.0,0.0384137050333652,0.06068052328604198
0.08,3.0276503540974917,0.06170228322525577,0.0,0.16311805370037147,0.9727316355973521,0.0,0.0,0.16311805370037152,0.0,0.061655427350537646,0.0,0.061655427350537646,0.0,0.03848705992816612,0.06055977158268876
0.09,3.0276503540974917,0.060528096900291095,0.0,0.16033298059882634,0.9958934463529827,0.0,0.0,0.16033298059882636,0.0,0.06124942271513921,0.0,0.06124942271513921,0.0,0.03801494412076114,0.05944404490114274
0.1,3.0276503540974917,0.0638784599604347,0.009035079029052519,0.17428984563183877,1.1663553841046677,0.011858541225631427,0.009035079029052519,0.1742898456318388,0.018601633295108114,0.06691797351418084,0.01860163329510812,0.06691797351418084,0.009035079029052519,0.040099013178036755,0.06701464540365698
0.11,3.0276503540974917,0.06296535349891255,0.01188092852369014,0.16844979186588915,1.157358501219822,0.020791624916457755,0.01188092852369014,0.16844979186588913,0.0324596923781534,0.0653363180573845,0.03245969237815342,0.0653363180573845,0.01188092852369014,0.03991430357143286,0.06377836654202405
0.12,3.0276503540974917,0.06049883609897261,0.01188092852369014,0.1617811528976156,1.192943783619832,0.020791624916457755,0.01188092852369014,0.16178115289761563,0.0324596923781534,0.06351902383073413,0.03245969237815342,0.06351902383073413,0.01188092852369014,0.038700532810217014,0.0611724271733569
0.13,3.0276503540974917,0.06172877251161621,0.01188092852369014,0.1640896323503955,1.4572260106649741,0.020791624916457755,0.01188092852369014,0.16408963235039548,0.0324596923781534,0.0658423547544324,0.03245969237815342,0.0658423547544324,0.01188092852369014,0.040005230115323864,0.06172819888136203
0.14,3.0276503540974917,0.05910646358848157,0.01188092852369014,0.15587154374276277,1.4231608863648293,0.020791624916457755,0.01188092852369014,0.15587154374276277,0.0324596923781534,0.06320980853588386,0.03245969237815342,0.06320980853588386,0.01188092852369014,0.038499923541533886,0.05836031420953455
